parallax,parallax_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,target_id,g_mag_error,bp_mag_error,bp-g,bp-g error,absolute_G_mag,absolute_G_mag_error,Type,bp_g_ZZ_Cet,abs_G_ZZ_Cet,bp_g_V777_Her,abs_G_V777_Her,bp_g_GW_Vir,abs_G_GW_Vir,bp_g_Hot_DQV,abs_G_Hot_DQV,bp_g_ELM_DAV,abs_G_ELM_DAV,bp_g_Hot_DAV,abs_G_Hot_DAV
30.52486031,0.054582128,38265.12185,21.07685399,14.231358,28239.86006,70.95656817,14.224232,Ross 548,0.001896792,0.003066911,-0.007126,0.003606073,11.65462643,0.004321386,ZZ Cet,-0.007126,11.65462643,-0.187681,10.92396534,-0.289941,5.990964068,-0.288655,11.83516425,0.065441,9.309935775,-0.189586,9.411468034
20.07902128,0.062931863,13294.5294,37.14353752,15.379184,9814.111121,118.3015824,15.37176,HW Aqr,0.003527917,0.013165545,-0.007424,0.013630032,11.8928967,0.007665885,ZZ Cet,-0.007424,11.8928967,-0.201542,10.43891227,-0.245851,3.751304388,-0.197645,11.48260318,0.050217,8.435309278,-0.218323,9.299824419
22.55281171,0.029122232,17777.38229,50.86174981,15.063696,13120.84118,145.1700215,15.056484,BPM 31594,0.00359082,0.012096875,-0.007212,0.012618573,11.82969947,0.00455592,ZZ Cet,-0.007212,11.82969947,-0.164632,10.50417937,-0.292658,3.26314049,-0.266913,11.47088033,0.036514,9.76028216,-0.099809,9.886186236
20.02720188,0.031976623,12149.59865,9.123375776,15.476961,9006.828984,44.29948532,15.464958,BPM 30551,0.001976117,0.005521843,-0.012003,0.005864792,11.98506238,0.003990719,ZZ Cet,-0.012003,11.98506238,-0.178087,10.47398957,-0.174132,3.309045789,-0.263821,11.42648317,0.064747,3.03882004,,
21.69092363,0.04636907,15246.51527,22.58219375,15.230439,11230.74966,90.17674911,15.225367,MCT 0145-2211,0.002413985,0.008831654,-0.005072,0.009155623,11.91182923,0.005232154,ZZ Cet,-0.005072,11.91182923,-0.172402,10.51347914,-0.257746,2.562569582,-0.204647,11.28068001,0.140673,3.907950889,,
47.78738976,0.029493575,79062.96413,29.01387167,13.443433,59013.99247,122.9331002,13.424001,L 19-2,0.001843591,0.002660422,-0.019432,0.003236769,11.83999955,0.002279244,ZZ Cet,-0.019432,11.83999955,-0.1724145,10.42211209,-0.25169,4.5394618,-0.240732,13.15783977,,,,
20.08580657,0.040974283,7866.676491,6.329872909,15.948888,5751.738434,20.15085386,15.95189,HE 0532-5605,0.0020009,0.004054133,0.003002,0.004521017,12.46333438,0.004860662,ZZ Cet,0.003002,12.46333438,-0.162821,10.70898325,-0.2712,4.540867439,,,,,,
20.11302436,0.059249366,13027.41592,21.58115217,15.40122,9706.013879,65.42111644,15.383786,HS 0507+0434B,0.002544921,0.007452608,-0.017434,0.00787515,11.9186069,0.006884423,ZZ Cet,-0.017434,11.9186069,-0.184156,10.39858564,-0.175666,3.983112484,,,,,,
14.73220918,0.044581494,9064.035167,6.593049269,15.795062,6704.733848,19.25973898,15.785435,HE 0031-5525,0.001965708,0.003419341,-0.009627,0.003944097,11.63640138,0.00685886,ZZ Cet,-0.009627,11.63640138,-0.151482,10.50765027,-0.278054,3.416462435,,,,,,
3.885308426,0.263131011,517.7734626,2.215468506,18.903017,416.2543898,19.62025583,18.802992,SDSS J024922.3-010006.7,0.004983263,0.051208026,-0.100025,0.051449925,11.8501445,0.147146535,ZZ Cet,-0.100025,11.8501445,-0.163182,10.68009649,-0.286812,3.332864465,,,,,,
4.317243355,0.325183298,627.6643112,1.80765264,18.694048,467.5396709,8.180211065,18.676842,SDSS J125710.5+012422.9,0.003608623,0.019052481,-0.017206,0.019391214,11.87008065,0.163599395,ZZ Cet,-0.017206,11.87008065,-0.160356,10.48845877,-0.149332,11.3014211,,,,,,
10.76991623,0.135347863,4608.810234,5.167111405,16.529394,3393.977773,22.59514924,16.524616,SDSS J153332.96-020655.7,0.002173118,0.007364262,-0.004778,0.007678203,11.69045563,0.027375751,ZZ Cet,-0.004778,11.69045563,-0.131324,10.54892721,-0.308192,7.246717272,,,,,,
2.512881693,0.721888824,322.8092536,1.884134522,19.416,252.1371556,17.37580643,19.347296,SDSS J161837.2-002302.7,0.006589256,0.074853811,-0.068704,0.075143272,11.41686021,0.623845172,ZZ Cet,-0.068704,11.41686021,-0.165499,10.62768719,-0.270874,7.489033446,,,,,,
3.416938775,0.245196457,422.8251905,1.327296308,19.122963,311.9045225,6.803828685,19.116335,SDSS J164115.61+352140.6,0.003855102,0.023731139,-0.006628,0.024042229,11.79114899,0.15587059,ZZ Cet,-0.006628,11.79114899,-0.125183,10.35367097,-0.330758,8.581964965,,,,,,
6.067225885,0.244558101,1152.412327,3.102341525,18.034346,831.833344,21.27899396,18.051298,SDSS J212808.49-000750.8,0.003433247,0.027816044,0.016952,0.02802712,11.94929682,0.087595147,ZZ Cet,0.016952,11.94929682,-0.222756,10.46771877,-0.182875,8.075045505,,,,,,
3.912858137,0.356160099,612.0025328,3.600302702,18.721483,456.1647988,8.744681458,18.703585,SDSS J213530.3-074330.7,0.006637475,0.020865646,-0.017898,0.021895918,11.68395351,0.197765356,ZZ Cet,-0.017898,11.68395351,-0.133169,10.27397226,,,,,,,,
4.651745347,0.393040222,724.1475183,2.412268176,18.538797,547.3735414,13.11657901,18.505678,SDSS J215354.1-073121.9,0.00404073,0.026061185,-0.033119,0.026372578,11.87687666,0.183518849,ZZ Cet,-0.033119,11.87687666,-0.174347,10.51088694,,,,,,,,
3.592047123,0.37941773,657.3827586,2.649869511,18.64382,470.3540898,15.53135867,18.670326,SDSS J223135.7+134652.8,0.00473322,0.035887653,0.026506,0.03619844,11.42053013,0.229415292,ZZ Cet,0.026506,11.42053013,-0.107623,10.60064105,,,,,,,,
4.341550117,0.341969238,549.7693559,2.186792901,18.837914,397.2532899,8.059151826,18.85372,SDSS J230726.6-084700.2,0.004679754,0.022076321,0.015806,0.02256688,12.02613809,0.171103556,ZZ Cet,0.015806,12.02613809,-0.212822,10.43977958,,,,,,,,
13.62014111,0.072600534,6423.911746,15.33953554,16.168867,4724.099812,50.4831356,16.16559,WD 1039+412,0.003156721,0.011689458,-0.003277,0.012108192,11.83977504,0.011997511,ZZ Cet,-0.003277,11.83977504,,,,,,,,,,
26.19877112,0.052986296,25989.14313,16.49757888,14.651386,19410.6156,61.03958451,14.6312895,WD 1116+026,0.001927497,0.003690913,-0.0200965,0.004163902,11.7427906,0.004796108,ZZ Cet,-0.0200965,11.7427906,,,,,,,,,,
91.41329122,0.038995021,228477.5151,99.62161752,12.291257,170522.6848,488.8497956,12.271933,WD 1647+591,0.001861242,0.00341361,-0.019324,0.003888053,12.09630373,0.002079006,ZZ Cet,-0.019324,12.09630373,,,,,,,,,,
9.358745369,0.07206407,3333.719088,5.629051517,16.881042,2469.365503,17.45956523,16.869925,WD 2148+539,0.002569548,0.007805111,-0.011117,0.008217198,11.73713016,0.016917024,ZZ Cet,-0.011117,11.73713016,,,,,,,,,,
6.759517039,0.122698881,3677.827779,8.458503574,16.774387,3205.327925,32.34644349,16.586706,KUV 05134+2605,0.003078679,0.011048387,-0.187681,0.011469312,10.92396534,0.039536657,V777 Her,,,,,,,,,,,,
3.483835613,0.184918614,1527.20213,4.016951591,17.728624,1348.100699,21.42410182,17.527082,CBS 114,0.003376304,0.01731547,-0.201542,0.017641569,10.43891227,0.115309089,V777 Her,,,,,,,,,,,,
5.501686947,0.155523981,3586.459114,7.267706017,16.8017,3060.045061,28.27789599,16.637068,PG 1115+158,0.002843078,0.010132913,-0.164632,0.010524211,10.50417937,0.061449893,V777 Her,,,,,,,,,,,,
5.671053095,0.065073599,3918.120215,7.680979565,16.705671,3384.71023,22.10020056,16.527584,PG 1351+489,0.00278792,0.007227835,-0.178087,0.007746877,10.47398957,0.025072464,V777 Her,,,,,,,,,,,,
6.408550751,0.106148196,4824.74683,13.66288269,16.47968,4146.145861,49.44830682,16.307278,PG 1456+103,0.003563413,0.013027439,-0.172402,0.013506002,10.51347914,0.036143329,V777 Her,,,,,,,,,,,,
23.20116097,0.029786967,68789.31225,113.9523052,13.5945635,59114.72133,521.9266485,13.422149,GD 358,0.00254488,0.009690013,-0.1724145,0.010018621,10.42211209,0.003774728,V777 Her,,,,,,,,,,,,
