cntr_01,dist_x,pang_x,ra_01,dec_01,oid,ra,dec,field,ccdid,qid,filtercode,ngoodobs,ngoodobsrel,nobs,nobsrel,refmag,refmagerr,astrometricrms,chisq,magrms,maxmag,medianabsdev,medianmag,medmagerr,minmag
1,1.190520,78.758100,3.4227564454E+02,2.2609151230E+01,646104300004276,342.2759959,22.6092157,646,4,3,zg,451,235,496,257,1.437800E+01,1.300000E-02,2.753765E-06,6.603305E-01,9.810612E-03,1.444836E+01,5.176544E-03,1.438885E+01,1.162258E-02,1.434326E+01
2,0.300669,-120.827246,1.8840008992E+00,3.3290727500E+01,1692103300007642,1.8839151,33.2906847,1692,3,3,zg,85,85,89,88,1.355100E+01,1.500000E-02,2.470297E-07,1.563393E+00,1.822808E-02,1.360530E+01,1.212978E-02,1.356024E+01,1.150294E-02,1.350112E+01
3,0.146838,-10.458199,2.0741270907E+00,1.8132895389E+01,1545114300000370,2.0741193,18.1329355,1545,14,3,zg,80,80,81,81,1.417600E+01,1.300000E-02,2.285628E-07,1.024585E+00,1.330425E-02,1.422333E+01,6.727695E-03,1.418321E+01,9.735145E-03,1.412535E+01
4,0.262068,-34.333975,6.7614379471E+00,-7.8531967128E+00,1390108400003200,6.7613965,-7.8531366,1390,8,4,zg,52,12,53,12,1.393600E+01,1.600000E-02,2.702700E-07,9.437479E-01,1.507047E-02,1.396350E+01,8.175373E-03,1.392964E+01,1.284327E-02,1.389196E+01
5,null,null,1.0356219925E+01,-2.2352333543E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
6,0.151098,27.324616,1.0397384177E+01,2.0154623611E+01,1597102100002213,10.3974047,20.1546609,1597,2,1,zg,79,79,81,81,1.431400E+01,1.900000E-02,3.544315E-07,8.663109E-01,1.699183E-02,1.438190E+01,8.351326E-03,1.431486E+01,1.429242E-02,1.428158E+01
7,0.105016,-48.655053,1.0725045627E+01,2.2042465330E+01,551113200002626,10.7250220,22.0424846,551,13,2,zg,213,213,232,232,1.393300E+01,2.100000E-02,1.999956E-07,9.690914E-01,1.691643E-02,1.398057E+01,1.030254E-02,1.393058E+01,1.576172E-02,1.388744E+01
8,3.572431,-105.201578,1.2296740250E+01,5.3765566084E+00,1494101100033061,12.2957784,5.3762964,1494,1,1,zg,1,1,1,1,2.103100E+01,1.350000E-01,0.000000E+00,0.000000E+00,null,2.157904E+01,0.000000E+00,2.157904E+01,2.233529E-01,2.157904E+01
9,0.273386,163.170814,1.5852439470E+01,-6.5371553117E+00,346113100001731,15.8524616,-6.5372280,346,13,1,zg,221,201,233,213,1.380200E+01,2.300000E-02,1.033403E-06,1.035065E+00,1.882776E-02,1.384783E+01,1.064873E-02,1.378492E+01,1.525296E-02,1.370744E+01
10,1.058212,49.288458,1.5959464909E+01,5.0761873723E+00,1495102300000949,15.9596886,5.0763791,1495,2,3,zg,52,52,53,53,1.404500E+01,1.600000E-02,9.000092E-07,5.567620E-01,1.082352E-02,1.409357E+01,5.767345E-03,1.406777E+01,1.535785E-02,1.403981E+01
11,0.229997,-58.401396,1.6171869027E+01,9.8283730249E+00,1495110200000598,16.1718138,9.8284065,1495,10,2,zg,52,52,53,53,1.429100E+01,1.500000E-02,2.433664E-07,1.234277E+00,1.142007E-02,1.434476E+01,7.751942E-03,1.431480E+01,9.311548E-03,1.428591E+01
12,1.456813,176.922723,1.9500233481E+01,1.6169486587E+01,552101100007738,19.5002561,16.1690825,552,1,1,zg,191,191,209,209,1.383000E+01,1.300000E-02,1.696367E-06,9.734144E-01,1.270797E-02,1.387667E+01,8.365631E-03,1.383841E+01,1.274163E-02,1.378972E+01
13,0.118910,25.139936,2.0938424638E+01,3.6963104398E+01,651116100005742,20.9384422,36.9631343,651,16,1,zg,607,399,650,427,1.299700E+01,1.800000E-02,1.799295E-07,1.153117E+00,1.241298E-02,1.299557E+01,7.764816E-03,1.294670E+01,9.983473E-03,1.289513E+01
14,0.070238,-46.967129,2.0961283478E+01,4.5025637786E+01,738103200008995,20.9612633,45.0256511,738,3,2,zg,285,276,358,347,1.249400E+01,1.800000E-02,1.637251E-07,9.357905E-01,1.619921E-02,1.254620E+01,7.485390E-03,1.246979E+01,1.185932E-02,1.231537E+01
15,0.047450,2.321170,2.2141053450E+01,1.3855891130E+01,502115400003734,22.1410540,13.8559043,502,15,4,zg,263,251,282,268,1.420300E+01,1.700000E-02,2.672801E-07,8.320395E-01,1.071851E-02,1.425881E+01,6.508827E-03,1.421614E+01,1.159799E-02,1.418622E+01
16,0.185882,154.299191,2.2350210306E+01,5.1145887926E+01,774101400019419,22.3502460,51.1458414,774,1,4,zg,314,307,336,327,1.333100E+01,1.700000E-02,3.168992E-07,8.684382E-01,1.087880E-02,1.341266E+01,6.224155E-03,1.337858E+01,1.062590E-02,1.333251E+01
17,0.892463,-155.520140,2.2350449736E+01,1.0381992921E+01,502107400001654,22.3503453,10.3817673,502,7,4,zg,268,255,290,275,1.441700E+01,1.300000E-02,1.727585E-06,7.049456E-01,1.137464E-02,1.448221E+01,7.973671E-03,1.444852E+01,1.676976E-02,1.441916E+01
18,1.724578,114.211514,2.4500065422E+01,-4.9972980390E+00,399102100005900,24.5005040,-4.9974945,399,2,1,zg,182,169,196,182,1.295200E+01,1.700000E-02,8.123118E-07,7.230294E-01,1.316836E-02,1.300368E+01,8.572102E-03,1.295437E+01,1.757743E-02,1.292292E+01
19,0.065699,174.411081,2.6978381860E+01,2.3661677763E+01,1600112200003438,26.9783838,23.6616596,1600,12,2,zg,68,68,72,72,1.389700E+01,2.400000E-02,1.324126E-07,8.762773E-01,9.073847E-03,1.395846E+01,5.692959E-03,1.393492E+01,9.632088E-03,1.391467E+01
20,0.685718,126.678241,2.7965393162E+01,6.4430367276E+01,807113400011164,27.9657471,64.4302535,807,13,4,zg,345,340,378,372,1.406100E+01,1.900000E-02,1.526539E-06,9.249991E-01,1.572437E-02,1.410089E+01,1.126862E-02,1.405081E+01,1.806148E-02,1.400346E+01
21,0.084490,34.836441,2.8211761511E+01,-1.6591902063E+01,1340101300001641,28.2117755,-16.5918828,1340,1,3,zg,52,7,55,7,1.331100E+01,1.200000E-02,3.533953E-07,8.287932E-01,1.494180E-02,1.335446E+01,7.613659E-03,1.332202E+01,1.361981E-02,1.327328E+01
22,0.068161,-0.791732,3.1734078970E+01,1.4649492868E+01,1549106100003076,31.7340787,14.6495118,1549,6,1,zg,52,52,58,58,1.318500E+01,1.700000E-02,1.809883E-07,9.401847E-01,1.146528E-02,1.322374E+01,6.864071E-03,1.319561E+01,1.082412E-02,1.317278E+01
23,1.118153,96.760602,3.2198803919E+01,2.5235568164E+01,604106100004631,32.1991449,25.2355316,604,6,1,zg,333,299,416,360,1.309300E+01,2.400000E-02,3.915577E-07,9.184297E-01,1.985511E-02,1.315285E+01,1.178837E-02,1.309414E+01,1.902969E-02,1.302807E+01
