cntr_01,dist_x,pang_x,ra_01,dec_01,oid,ra,dec,field,ccdid,qid,filtercode,ngoodobs,ngoodobsrel,nobs,nobsrel,refmag,refmagerr,astrometricrms,chisq,magrms,maxmag,medianabsdev,medianmag,medmagerr,minmag
1,1.186098,78.928352,3.4227564454E+02,2.2609151230E+01,646204300006454,342.2759948,22.6092145,646,4,3,zr,516,266,577,300,1.448100E+01,1.700000E-02,2.640984E-06,1.001828E+00,1.365582E-02,1.454619E+01,8.064270E-03,1.448431E+01,1.193427E-02,1.444029E+01
2,0.301519,-120.651289,1.8840008992E+00,3.3290727500E+01,1692203300010955,1.8839147,33.2906848,1692,3,3,zr,86,86,91,90,1.407500E+01,1.700000E-02,2.312812E-07,1.330120E+00,1.605448E-02,1.413588E+01,9.904385E-03,1.408626E+01,1.103979E-02,1.404709E+01
3,0.062743,16.502125,2.0741270907E+00,1.8132895389E+01,1545214300000687,2.0741323,18.1329121,1545,14,3,zr,68,68,74,74,1.464400E+01,1.400000E-02,2.182148E-07,1.050468E+00,1.034987E-02,1.467746E+01,6.894112E-03,1.464805E+01,9.730144E-03,1.462588E+01
4,0.188796,-25.807305,6.7614379471E+00,-7.8531967128E+00,345214400008387,6.7614149,-7.8531495,345,14,4,zr,91,87,98,94,1.433500E+01,1.500000E-02,3.056324E-07,8.724802E-01,1.180001E-02,1.437146E+01,7.069588E-03,1.433159E+01,1.201330E-02,1.429466E+01
5,null,null,1.0356219925E+01,-2.2352333543E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
6,0.095536,29.973451,1.0397384177E+01,2.0154623611E+01,1597202100003818,10.3973983,20.1546466,1597,2,1,zr,77,77,84,84,1.483300E+01,1.500000E-02,1.679679E-07,1.565245E+00,1.418510E-02,1.485933E+01,1.116276E-02,1.482782E+01,1.057337E-02,1.478963E+01
7,0.077551,-64.216606,1.0725045627E+01,2.2042465330E+01,551213200005909,10.7250247,22.0424747,551,13,2,zr,298,253,328,276,1.338500E+01,1.500000E-02,2.170204E-07,9.729044E-01,1.598072E-02,1.342727E+01,9.400368E-03,1.337498E+01,1.432513E-02,1.331254E+01
8,5.627609,-41.244563,1.2296740250E+01,5.3765566084E+00,1494201100024741,12.2957051,5.3777320,1494,1,1,zr,1,1,1,1,2.183700E+01,1.450000E-01,0.000000E+00,0.000000E+00,null,2.132586E+01,0.000000E+00,2.132586E+01,2.105210E-01,2.132586E+01
9,0.352356,167.316942,1.5852439470E+01,-6.5371553117E+00,346213100003030,15.8524611,-6.5372508,346,13,1,zr,253,205,273,222,1.414200E+01,1.800000E-02,9.485075E-07,1.092720E+00,1.497780E-02,1.417755E+01,9.784698E-03,1.413262E+01,1.327586E-02,1.408806E+01
10,1.069108,49.052372,1.5959464909E+01,5.0761873723E+00,1495202300002017,15.9596901,5.0763820,1495,2,3,zr,58,58,63,63,1.397500E+01,2.000000E-02,9.133765E-07,1.030770E+00,1.138681E-02,1.401755E+01,7.470131E-03,1.398749E+01,1.074461E-02,1.396268E+01
11,0.155311,-77.992645,1.6171869027E+01,9.8283730249E+00,1495210200001329,16.1718262,9.8283820,1495,10,2,zr,59,59,63,63,1.473300E+01,1.800000E-02,1.612782E-07,8.296750E-01,1.197582E-02,1.476516E+01,5.776405E-03,1.474003E+01,1.032223E-02,1.468344E+01
